group1,group2,p_value,is_significant,accuracy_diff
0-10,10-20,0.4164428326381296,False,0.11499999999999999
0-10,20-30,0.25004942900730925,False,0.139
0-10,30-40,0.6113623350442199,False,0.08699999999999997
0-10,40-50,0.7786095294243176,False,0.020000000000000018
0-10,50-60,0.7986215392644676,False,0.08799999999999997
0-10,60+,0.8092499334930418,False,0.028000000000000025
10-20,20-30,1.0,False,0.02400000000000002
10-20,30-40,1.0,False,0.028000000000000025
10-20,40-50,1.0,False,0.09499999999999997
10-20,50-60,0.25271586321587547,False,0.20299999999999996
10-20,60+,0.7836740173133037,False,0.08699999999999997
20-30,30-40,0.8058483468119102,False,0.052000000000000046
20-30,40-50,0.785898857197813,False,0.119
20-30,50-60,0.1459008259187296,False,0.22699999999999998
20-30,60+,0.49413843067840124,False,0.11099999999999999
30-40,40-50,1.0,False,0.06699999999999995
30-40,50-60,0.29622068016829506,False,0.17499999999999993
30-40,60+,0.8070380314981531,False,0.05899999999999994
40-50,50-60,0.39154208932762835,False,0.10799999999999998
40-50,60+,1.0,False,0.008000000000000007
50-60,60+,0.45253538385801256,False,0.11599999999999999
